ID	Name	Size	Bark	Embryo	FlushBud	MatureNeedle	Megagametophyte	SeedGermination	Xylem	YoungBuds
gene1	NA	204	39.939	209.777	65.1475	9.67033	200.944	34.5315	0	44.5824
gene2	NA	267	0	428.951	37.3317	7.38857	317.93	15.0764	0	27.2504
gene3	NA	258	23.6848	738.546	6.439	15.2926	292.879	3.90057	7.75228	0
gene4	NA	222	27.5256	3999.57	0	0	1673.67	9.0662	0	16.3871
gene5	NA	450	0	62.4013	12.175	14.9228	54.0605	6.27158	0	0
gene6	NA	243	58.6759	170.392	6.83647	0	242.868	12.424	0	7.48545
gene7	NA	297	6.85822	83.2174	11.1869	13.2845	114.287	134.87	13.4686	24.4978
gene8	NA	201	0	4.91326	0	0	3.45667	5.00671	0	0
gene9	NA	180	22.6321	5.48648	0	0	23.1597	0	0	10.1054
gene10	NA	150	27.1585	10.973	0	0	32.4236	0	0	0
gene11	NA	294	6.9282	21.6243	0	0	15.7567	0	0	0
gene12	NA	156	26.114	10.5509	21.2982	12.6458	40.0841	6.45095	0	11.66
gene13	NA	255	0	44.3468	0	0	42.3738	0	0	0
gene14	NA	144	0	2.28603	0	0	19.2998	0	0	0
gene15	NA	219	0	1475.79	0	0	105.35	0	0	0
gene16	NA	252	0	25.4791	0	0	0.00125341	0	0	0
gene17	NA	237	0	34.4424	0	0	89.104	0	0	0
gene18	NA	270	0	18.9496	0	0	0	0	0	0
gene19	NA	252	0	57.8958	0	0	15.042	0	0	0
gene20	NA	393	0	5.63952	0	0	14.8467	0	0	0
gene21	NA	195	0	3.37629	0	0	10.6891	0	0	0
gene22	NA	168	0	3.91891	0	0	0	0	0	0
gene23	NA	225	0	370.119	0	0	144.823	0	0	0
gene24	NA	231	0	150.598	21.5748	0	55.1638	4.35648	0	0
gene25	NA	264	23.1465	71.3838	18.878	14.9451	47.7601	11.4358	22.7283	0
gene26	NA	267	0	33.5118	0	0	90.8371	3.76909	0	6.8126
gene27	NA	147	0	2.23938	0	0	0	0	13.606	0
gene28	NA	252	0	19.2986	0	0	15.042	0	7.93686	7.21811
gene29	NA	108	0	9.14413	0	0	6.43325	0	0	0
gene30	NA	345	245.504	90.639	422.592	145.071	129.783	54.4348	860.843	361.76
gene31	NA	255	31.9512	203.995	26.059	0	155.371	7.89292	0	0
gene32	NA	246	8.28005	210.753	0	0	224.739	0	81.3044	0
gene33	NA	159	12.8106	20.7037	10.4482	12.4072	34.958	12.6585	0	0
gene34	NA	189	0	13.9339	0	0	3.67614	0	0	0
gene35	NA	90	45.2642	32.9189	36.9169	0	30.8796	0	0	20.2107
gene36	NA	165	0	17.9557	0	0	21.0543	0	0	0
gene37	NA	327	0	42.2364	0	0	74.5299	26.8635	0	0
gene38	NA	225	18.1057	1017.83	14.7668	0	543.086	8.94531	0	16.1686
gene39	NA	219	9.30087	11216	45.514	9.00798	1264.2	22.976	9.13283	8.30577
gene40	NA	267	30.5152	100.535	6.22195	14.7771	227.093	15.0764	0	6.8126
gene41	NA	204	9.98476	14.523	0	29.011	13.6234	0	9.80436	17.833
gene42	NA	357	0	33.1282	0	100.658	27.5729	14.9173	0	48.9752
gene43	NA	228	0	130.175	0	0	62.6217	0	0	0
gene44	NA	309	0	10.8386	0	0	6.73312	0	0	0
gene45	NA	198	20.5747	6.65027	8.39021	0	0	5.08257	60.6088	0
gene46	NA	141	0	7.00401	0	0	4.9276	0	0	0
gene47	NA	186	0	10.619	0	0	18.6772	0	0	9.77937
gene48	NA	222	0	799.914	7.48316	8.88625	171.658	0	18.0188	8.19353
gene49	NA	279	0	107.727	5.95434	21.2123	123.409	7.21396	7.16878	6.51958
gene50	NA	345	163.669	67.3318	0	72.5357	84.8584	18.1449	286.948	0
gene51	NA	162	0	26.4164	0	0	25.733	6.21202	0	0
gene52	NA	309	0	21.6773	0	19.1529	47.1318	0	0	0
gene53	NA	204	0	3.42905	0	0	8.17401	0	0	0
gene54	NA	144	0	18.2883	0	0	9.64988	3.49426	0	6.31585
gene55	NA	222	0	719.923	14.9663	26.6588	214.573	0	0	8.19353
gene56	NA	249	0	31.7389	0	0	16.0868	0	0	0
gene57	NA	435	0	1.51619	0	0	0	0	0	0
gene58	NA	162	0	30.4804	71.7829	36.5324	107.221	0	0	78.5972
gene59	NA	246	0	222.462	0	0	259.314	4.09085	0	7.39416
gene60	NA	174	0	1.89189	0	0	11.9792	5.78361	0	0
gene61	NA	309	0	32.5159	0	0	53.8649	0	0	0
