Class	ID	Name	Size	Bark	Embryo	FlushBud	MatureNeedle	Megagametophyte	SeedGermination	Xylem	YoungBuds
ORF	gene1	orf00001	204	0	200.105	0	0	317.522	87.1976	0	0
ORF	gene2	orf00002	267	0	305.778	0	0	415.888	0	0	168.592
ORF	gene3	orf00003	258	0	452.064	0	271.127	251.064	0	0	0
ORF	gene4	orf00004	222	0	52.5372	0	0	125.047	0	0	0
ORF	gene5	orf00005	450	0	323.98	75.5309	155.446	226.197	0	0	0
ORF	gene6	orf00006	243	0	95.9939	0	0	38.0803	219.609	0	0
ORF	gene7	orf00007	99	0	0	0	0	0	0	0	0
ORF	gene8	orf00008	201	0	58.0262	0	0	92.0747	0	0	0
ORF	gene9	orf00009	297	0	39.2702	0	0	62.3132	0	0	0
ORF	gene10	orf00010	201	0	0	0	0	0	0	0	0
ORF	gene11	orf00011	180	0	0	0	0	0	0	0	0
ORF	gene12	orf00012	150	0	0	0	0	0	0	0	0
ORF	gene13	orf00013	294	0	0	0	0	31.4745	0	0	0
ORF	gene14	orf00014	156	0	37.3823	0	0	0	0	0	0
ORF	gene15	orf00015	255	0	0	0	0	0	0	0	0
ORF	gene16	orf00016	144	0	0	0	0	0	0	0	0
ORF	gene17	orf00017	219	0	0	0	0	0	0	0	0
ORF	gene18	orf00018	252	0	23.1414	0	0	0	0	0	0
ORF	gene19	orf00019	237	0	24.606	0	0	39.0443	0	0	0
ORF	gene20	orf00020	207	0	0	0	0	0	0	0	0
ORF	gene21	orf00021	270	0	0	0	0	0	0	0	0
ORF	gene22	orf00022	252	0	23.1414	0	0	0	0	0	0
ORF	gene23	orf00023	393	0	29.6775	0	0	47.0916	0	0	0
ORF	gene24	orf00024	195	0	0	0	0	0	0	0	0
ORF	gene25	orf00025	168	0	0	0	0	0	0	0	0
ORF	gene26	orf00026	225	0	51.8367	0	0	41.1267	0	0	0
ORF	gene27	orf00027	231	0	0	0	0	40.0585	0	0	0
ORF	gene28	orf00028	117	0	0	0	0	0	0	0	0
ORF	gene29	orf00029	264	0	66.2685	0	0	35.0512	0	0	0
ORF	gene30	orf00030	267	0	0	0	0	103.972	0	0	0
ORF	gene31	orf00031	147	0	0	0	0	0	0	0	0
ORF	gene32	orf00032	252	0	0	0	0	0	0	0	0
ORF	gene33	orf00033	351	0	0	0	0	158.18	50.679	0	0
ORF	gene34	orf00034	267	0	65.524	0	0	69.3147	0	0	0
ORF	gene35	orf00035	246	0	71.1175	0	0	112.848	0	689.761	0
ORF	gene36	orf00036	159	0	0	0	0	58.1982	0	0	0
ORF	gene37	orf00037	90	0	0	0	0	0	0	0	0
ORF	gene38	orf00038	159	0	0	0	0	0	0	0	0
ORF	gene39	orf00039	327	0	142.67	0	0	141.491	54.3985	0	0
ORF	gene40	orf00040	225	0	51.8367	0	0	123.38	79.0592	0	200.062
ORF	gene41	orf00041	120	0	0	0	0	0	0	0	0
ORF	gene42	orf00042	219	0	26.6285	0	0	42.2535	0	0	0
ORF	gene43	orf00043	258	0	67.8097	0	0	71.7326	0	0	0
ORF	gene44	orf00044	267	0	65.524	0	0	277.259	66.6229	0	0
ORF	gene45	orf00045	204	0	28.5864	0	1028.69	0	0	92.419	0
ORF	gene46	orf00046	357	0	98.0106	0	0	25.9202	0	0	0
ORF	gene47	orf00047	228	0	0	0	0	0	0	0	0
ORF	gene48	orf00048	138	0	0	0	0	67.0544	0	0	0
ORF	gene49	orf00049	309	0	37.7452	0	0	29.9466	0	0	0
ORF	gene50	orf00050	198	0	58.9054	0	0	0	0	0	0
ORF	gene51	orf00051	222	0	26.2686	0	0	0	0	0	0
ORF	gene52	orf00052	237	0	24.606	0	0	0	0	0	0
ORF	gene53	orf00053	270	0	0	0	0	102.817	0	0	0
ORF	gene54	orf00054	279	0	146.313	0	0	165.833	0	0	0
ORF	gene55	orf00055	345	0	152.13	0	0	214.574	51.5603	0	0
ORF	gene56	orf00056	171	0	0	0	0	0	0	0	0
ORF	gene57	orf00057	309	0	56.6178	0	452.756	89.8399	0	0	0
ORF	gene58	orf00058	273	0	0	0	0	0	0	0	0
ORF	gene59	orf00059	144	0	0	0	0	0	0	0	0
ORF	gene60	orf00060	156	0	0	0	0	0	0	0	0
ORF	gene61	orf00061	222	0	26.2686	0	0	83.3649	0	0	0
ORF	gene62	orf00062	99	0	0	0	0	0	0	0	0
ORF	gene63	orf00063	186	0	0	0	0	0	0	0	0
ORF	gene64	orf00064	249	0	23.4202	0	0	0	0	0	0
ORF	gene65	orf00065	435	0	0	0	0	0	0	0	0
ORF	gene66	orf00066	162	0	0	0	0	0	0	0	0
ORF	gene67	orf00067	246	0	47.4116	0	0	75.2318	0	0	0
ORF	gene68	orf00068	174	0	33.5151	0	0	53.1811	0	0	0
ORF	gene69	orf00069	312	0	74.7645	0	0	177.952	0	0	0
ORF	gene70	orf00070	174	0	0	0	0	0	0	0	0
ORF	gene71	orf00071	279	0	20.9019	0	0	33.1667	0	0	0
ORF	gene72	orf00072	156	0	37.3823	0	0	0	0	0	0
ORF	gene73	orf00073	180	0	0	0	0	0	0	0	0
ORF	gene74	orf00074	126	0	0	0	0	0	0	0	0
ORF	gene75	orf00075	174	0	0	0	0	0	0	0	0
ORF	gene76	orf00076	534	0	43.6826	0	0	34.6573	0	0	0
ORF	gene77	orf00077	288	0	0	0	0	0	0	0	0
ORF	gene78	orf00078	204	0	0	0	0	22.6802	0	0	0
ORF	gene79	orf00079	297	0	9.81756	0	0	46.7349	0	0	0
ORF	gene80	orf00080	252	0	0	0	0	0	0	0	0
ORF	gene81	orf00081	258	0	22.6032	0	0	17.9332	0	0	0
ORF	gene82	orf00082	171	0	17.0516	0	0	0	0	0	0
ORF	gene83	orf00083	231	0	126.226	0	0	60.0877	0	0	0
ORF	gene84	orf00084	234	0	0	0	0	39.5449	0	0	0
ORF	gene85	orf00085	195	0	0	0	0	0	0	0	0
ORF	gene86	orf00086	150	0	0	0	0	0	0	0	0
ORF	gene87	orf00087	231	0	0	0	0	0	0	0	0
ORF	gene88	orf00088	144	0	0	0	0	0	0	0	0
ORF	gene89	orf00089	219	0	0	0	0	21.1267	0	0	0
ORF	gene90	orf00090	171	0	0	0	0	0	0	0	0
ORF	gene91	orf00091	138	0	0	0	0	0	0	0	0
ORF	gene92	orf00092	138	0	0	0	0	0	0	0	0
ORF	gene93	orf00093	171	0	0	0	0	0	0	0	0
ORF	gene94	orf00094	219	0	0	0	0	21.1267	0	0	0
ORF	gene95	orf00095	144	0	0	0	0	0	0	0	0
ORF	gene96	orf00096	231	0	0	0	0	0	0	0	0
ORF	gene97	orf00097	150	0	0	0	0	0	0	0	0
ORF	gene98	orf00098	195	0	0	0	0	0	0	0	0
ORF	gene99	orf00099	234	0	0	0	0	39.5449	0	0	0
ORF	gene100	orf00100	231	0	126.226	0	0	60.0877	0	0	0
ORF	gene101	orf00101	171	0	17.0516	0	0	0	0	0	0
ORF	gene102	orf00102	258	0	22.6032	0	0	17.9332	0	0	0
ORF	gene103	orf00103	252	0	0	0	0	0	0	0	0
ORF	gene104	orf00104	297	0	9.81756	0	0	46.7349	0	0	0
ORF	gene105	orf00105	204	0	0	0	0	22.6802	0	0	0
ORF	gene106	orf00106	252	0	0	0	0	36.7203	0	0	0
ORF	gene107	orf00107	186	0	31.3529	0	0	0	0	0	0
ORF	gene108	orf00108	249	0	46.8404	0	0	37.1627	0	0	0
ORF	gene109	orf00109	102	0	0	0	0	0	0	0	0
ORF	gene110	orf00110	105	0	0	0	0	0	0	0	0
ORF	gene111	orf00111	651	0	743.511	522.103	0	881.286	273.246	318.569	207.438
ORF	gene112	orf00112	231	0	50.4903	0	0	40.0585	0	0	0
ORF	gene113	orf00113	204	0	28.5864	0	0	0	0	0	0
ORF	gene114	orf00114	162	0	0	0	0	0	0	0	0
ORF	gene115	orf00115	267	0	65.524	0	0	34.6573	0	0	0
ORF	gene116	orf00116	204	0	28.5864	0	0	0	0	0	0
ORF	gene117	orf00117	153	0	0	0	0	0	0	0	0
ORF	gene118	orf00118	477	0	61.9542	0	0	60.325	38.1489	0	0
ORF	gene119	orf00119	534	0	98.2859	0	0	86.6433	0	0	0
ORF	gene120	orf00120	159	0	0	0	0	0	0	0	0
ORF	gene121	orf00121	240	0	24.2985	0	0	38.5563	0	0	0
ORF	gene122	orf00122	96	0	0	0	0	0	0	0	0
ORF	gene123	orf00123	216	0	0	0	0	42.8403	0	0	0
ORF	gene124	orf00124	318	0	36.6769	0	0	0	0	0	0
ORF	gene125	orf00125	120	0	0	0	0	0	0	0	0
ORF	gene126	orf00126	186	0	0	0	0	0	0	0	0
ORF	gene127	orf00127	354	0	16.4735	0	0	0	0	0	0
ORF	gene128	orf00128	291	0	0	0	0	0	0	0	0
ORF	gene129	orf00129	117	0	0	0	0	0	0	0	0
ORF	gene130	orf00130	189	0	0	0	0	16.3201	0	0	0
ORF	gene131	orf00131	159	0	0	0	0	0	0	0	0
ORF	gene132	orf00132	132	0	0	0	0	0	0	0	0
ORF	gene133	orf00133	189	0	10.2851	0	0	0	0	0	0
ORF	gene134	orf00134	237	0	16.404	0	0	0	0	0	0
ORF	gene135	orf00135	159	0	0	0	0	0	0	0	0
ORF	gene136	orf00136	138	0	0	0	0	0	0	0	0
ORF	gene137	orf00137	321	0	0	0	0	28.8271	0	0	0
ORF	gene138	orf00138	198	0	0	0	0	0	0	0	0
ORF	gene139	orf00139	264	0	0	0	0	23.3674	22.46	0	0
ORF	gene140	orf00140	132	0	0	0	0	0	0	0	0
ORF	gene141	orf00141	195	0	9.9686	0	0	0	0	0	0
ORF	gene142	orf00142	195	0	9.9686	0	0	0	0	0	0
ORF	gene143	orf00143	132	0	0	0	0	0	0	0	0
ORF	gene144	orf00144	264	0	0	0	0	23.3674	22.46	0	0
ORF	gene145	orf00145	198	0	0	0	0	0	0	0	0
ORF	gene146	orf00146	321	0	0	0	0	28.8271	0	0	0
ORF	gene147	orf00147	138	0	0	0	0	0	0	0	0
ORF	gene148	orf00148	159	0	0	0	0	0	0	0	0
ORF	gene149	orf00149	237	0	16.404	0	0	0	0	0	0
ORF	gene150	orf00150	189	0	10.2851	0	0	0	0	0	0
ORF	gene151	orf00151	132	0	0	0	0	0	0	0	0
ORF	gene152	orf00152	159	0	0	0	0	0	0	0	0
ORF	gene153	orf00153	189	0	0	0	0	16.3201	0	0	0
ORF	gene154	orf00154	189	0	0	0	0	16.3201	0	0	0
ORF	gene155	orf00155	159	0	0	0	0	0	0	0	0
ORF	gene156	orf00156	132	0	0	0	0	0	0	0	0
ORF	gene157	orf00157	189	0	10.2851	0	0	0	0	0	0
ORF	gene158	orf00158	237	0	16.404	0	0	0	0	0	0
ORF	gene159	orf00159	159	0	0	0	0	0	0	0	0
ORF	gene160	orf00160	138	0	0	0	0	0	0	0	0
ORF	gene161	orf00161	321	0	0	0	0	28.8271	0	0	0
ORF	gene162	orf00162	198	0	0	0	0	0	0	0	0
ORF	gene163	orf00163	264	0	0	0	0	23.3674	22.46	0	0
ORF	gene164	orf00164	132	0	0	0	0	0	0	0	0
ORF	gene165	orf00165	195	0	9.9686	0	0	0	0	0	0
ORF	gene166	orf00166	384	0	15.1865	0	0	72.293	138.971	0	0
ORF	gene167	orf00167	339	0	17.2025	0	0	27.2965	0	0	0
ORF	gene168	orf00168	237	0	49.2121	0	0	0	0	0	0
ORF	gene169	orf00169	237	0	0	0	0	0	0	0	0
ORF	gene170	orf00170	141	0	0	0	0	0	0	0	0
ORF	gene171	orf00171	120	0	0	0	0	0	0	0	0
ORF	gene172	orf00172	180	0	0	0	0	51.4084	0	0	0
ORF	gene173	orf00173	222	0	0	0	0	0	0	0	0
ORF	gene174	orf00174	111	0	0	0	0	0	0	0	0
ORF	gene175	orf00175	180	0	0	0	0	0	0	0	0
